DHI,,D.R. HORTON INC*,Equity,20180920,X,X,,,,,,,,
DIS,,WALT DISNEY COMPANY*,Equity,20180920,X,X,,,,,,,,
DISH,,Dish Network Corp*,Equity,20180920,X,X,,,,,,,,
DKS,,DICK'S SPORTING GOODS INC*,Equity,20180920,X,X,,,,,,,,
DLTR,,"Dollar Tree, Inc*",Equity,20180920,X,X,,,,,,,,
DOV,,DOVER CORP*,Equity,20180920,X,X,,,,,,,,
DVN,,DEVON ENERGY CORP.*,Equity,20180920,X,X,,,,,,,,
DWDP,,DowDuPont Inc.*,Equity,20180920,X,X,,,,,,,,
EA,,ELECTRONIC ARTS*,Equity,20180920,X,X,,,,,,,,
EBAY,,EBAY INC*,Equity,20180920,X,X,,,,,,,,
ECL,,ECOLAB INC*,Equity,20180920,X,X,,,,,,,,
ED,,CONSOLIDATED ED INC(HOLDING CO*,Equity,20180920,X,X,,,,,,,,
EDIT, ,"Editas Medicine, Inc.*",Equity,20180920,X,X,,,,,,,,
EMES,,Emerge Energy Services LP*,Equity,20180920,X,X,,,,,,,,
EMR,,EMERSON ELECTRIC CO*,Equity,20180920,X,X,,,,,,,,
ENDP,,Endo International plc*,Equity,20180920,X,X,,,,,,,,
EOG,,"EOG RESOURCES, INC*",Equity,20180920,X,X,,,,,,,,
EPD,,ENTERPRISE PROD PARTNERS L.PI*,Equity,20180920,X,X,,,,,,,,
ESRX,,Express Scripts Holding Company*,Equity,20180920,X,X,,,,,,,,
ETFC,,E*TRADE Financial Corporation*,Equity,20180920,X,X,,,,,,,,
ETN,,"Eaton Corporation, plc*",Equity,20180920,X,X,,,,,,,,
EW,,EDWARDS LIFESCIENCES CORP.*,Equity,20180920,X,X,,,,,,,,
EXAS,,Exact Sciences Corp.*,Equity,20180920,X,X,,,,,,,,
EXPE,,"EXPEDIA, INC*",Equity,20180920,X,X,,,,,,,,
F,,FORD MOTOR COMPANY*,Equity,20180920,X,X,,,,,,,,
FB,,Facebook Inc.*,Equity,20180920,X,X,,,,,,,,
FCX,,Freeport-McMoRan Inc.*,Equity,20180920,X,X,,,,,,,,
FDX,,FEDEX CORP*,Equity,20180920,X,X,,,,,,,,
FFIV,,"F5 NETWORKS, INC.*",Equity,20180920,X,X,,,,,,,,
FIT,,Fitbit Inc.*,Equity,20180920,X,X,,,,,,,,
FIVE, ,Five Below Inc.,Equity,20180920,X,X,,,,,,,,
FLEX,,Flex Ltd.*,Equity,20180920,X,X,,,,,,,,
FLR,,FLUOR CORP*,Equity,20180920,X,X,,,,,,,,
FNSR, ,FINISAR CORPORATION*,Equity,20180920,X,X,,,,,,,,
FOLD,,"Amicus Therapeutics, Inc.*",Equity,20180920,X,X,,,,,,,,
FOSL,,"Fossil Group, Inc.*",Equity,20180920,X,X,,,,,,,,
FOXA,,Twenty-First Century Fox Class A*,Equity,20180920,X,X,,,,,,,,
FSLR,,"First Solar, Inc.*",Equity,20180920,X,X,,,,,,,,
FTV,X,Fortive Corp*,Equity,20180920,X,X,,,,,,,,
GD,,GENERAL DYNAMICS CORP*,Equity,20180920,X,X,,,,,,,,
GE,,GENERAL ELECTRIC*,Equity,20180920,X,X,,,,,,,,
GERN,X,GERON CORP*,Equity,20180920,X,X,,,,,,,,
GG,,GOLDCORP INC*,Equity,20180920,X,X,,,,,,,,
GILD,,"GILEAD SCIENCES, INC.*",Equity,20180920,X,X,,,,,,,,
GLW,,CORNING INCORPORATED*,Equity,20180920,X,X,,,,,,,,
GM,,General Motors Co.*,Equity,20180920,X,X,,,,,,,,
GME,,GAMESTOP CORP CL A (Holding Co)*,Equity,20180920,X,X,,,,,,,,
GNW,,"Genworth Financial, Inc. (Holding Company)*",Equity,20180920,X,X,,,,,,,,
GOGO,,GOGO Inc.*,Equity,20180920,X,X,,,,,,,,
